,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,19-231,2001,4.1,48,56.6,84.9,928.3,327.6,15.9,18.5,85.5,25.4,28.5,88.9,5.37,7.32,73.3,0,0.02,-0.02,0.24,2.68,0,0,140,2.93
Lois Diony,fr FRA,FW,Angers,fr Ligue 1,27-342,1992,3,13,21,61.9,178.7,22.7,9.33,12.3,75.7,2.33,4.33,53.8,0.67,1.67,40,0.33,0.03,0.3,1.33,0.33,0.33,0,57,1
Issa Diop,fr FRA,DF,West Ham,eng Premier League,23-322,1997,2.3,49.1,55.7,88.3,1032.6,303,16.5,17,97.4,20.9,21.7,96,10.9,15.2,71.4,0,0,0,0,1.74,0,0,112.6,1.74
Papakouli Diop,sn SEN,MF,Eibar,es La Liga,34-252,1986,5.4,23.1,35,66.1,421.5,96.5,9.81,13.3,73.6,9.81,13.5,72.6,2.59,6.3,41.2,0.19,0.09,0.09,0.74,2.96,0.19,0,38,1.85
Sofiane Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20-170,2000,8.4,42,52.3,80.4,757,185.5,19.9,21.9,90.8,15.5,18.7,82.8,5.36,8.81,60.8,0,0.07,-0.07,1.43,4.29,0.71,0.12,155.1,4.17
Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,21-010,1999,1.5,26.7,34.7,76.9,692.7,437.3,4,4,100,13.3,14,95.2,9.33,16.7,56,0,0,0,0,0.67,0,0,56,0
Assane Dioussé,sn SEN,DF,Saint-Étienne,fr Ligue 1,23-067,1997,0,1,1,100,8,5,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,2,0
Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,22-260,1998,8.7,60.3,68.2,88.5,1315.5,386.6,16.1,16.6,97.2,33.6,34.7,96.7,10.5,16.3,64.1,0,0,0,0.11,4.94,0.11,0,216.7,3.1
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,20-231,2000,0.2,100,105,95.2,2000,420,30,30,100,55,55,100,15,15,100,0,0,0,0,0,0,0,260,0
Djené,tg TOG,DF,Getafe,es La Liga,28-331,1991,9,24,32.4,74,572.3,189.7,5.56,7.11,78.1,11.8,14.9,79.1,6.44,9.89,65.2,0,0,0,0,1.89,0,0,47.1,2.22
Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,22-164,1998,4.3,24.9,31.9,78.1,342.6,69.5,15.8,17.9,88.3,7.91,10,79.1,0.7,1.63,42.9,0,0.09,-0.09,0.93,1.4,1.16,0,119.3,1.86
Alexander Djiku,gh GHA,MFDF,Strasbourg,fr Ligue 1,26-109,1994,6.5,38.2,48.2,79.2,862.6,256.8,9.54,12,79.5,19.7,22.3,88.3,8.31,11.5,72,0,0.08,-0.08,0.31,3.85,0,0,81.8,2.77
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,27-281,1993,5,59.6,68.4,87.1,1103.2,370.8,27,30.8,87.7,24.2,26.2,92.4,7.8,9.8,79.6,0,0,0,0,5.6,0.2,0,87.6,4.6
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,28-307,1992,10,15.9,31,51.3,799.6,619.2,0.9,0.9,100,4.2,4.3,97.7,10.8,25.7,42,0,0.04,-0.04,0.2,1.5,0.2,0,44.8,0.1
Ritsu Doan,jp JPN,MFFW,Arminia,de Bundesliga,22-163,1998,7.2,20,28.8,69.6,344.7,106.7,10.3,12.2,84.1,6.81,8.89,76.6,2.22,5.69,39,0.14,0.11,0.03,0.97,1.39,1.25,0.14,131,2.08
Mihai Dobre,ro ROU,FWMF,Dijon,fr Ligue 1,22-088,1998,0.9,20,25.6,78.3,237.8,68.9,13.3,14.4,92.3,5.56,7.78,71.4,0,1.11,0,0,0,0,0,0,0,0,170,1.11
Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,28-315,1992,5.8,47.6,60.2,79.1,755.5,295,27.8,31.7,87.5,15.9,20.2,78.6,3.28,6.55,50,0.17,0.07,0.1,0.86,2.07,1.03,0.34,103.3,4.31
Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,18-183,2002,3.1,38.1,47.4,80.3,617.4,174.8,20.3,24.2,84,14.5,17.7,81.8,3.23,3.87,83.3,0,0,0,0.65,2.26,2.26,0.65,299.4,6.13
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,23-051,1997,6.8,10.1,13.4,75.8,158.7,11,5.15,6.47,79.5,3.97,5.29,75,0.59,0.88,66.7,0,0.04,-0.04,0.59,0.44,0,0,31.5,0.44
Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,27-309,1993,1.7,33.5,36.5,91.9,554.1,98.8,17.1,18.2,93.5,12.4,12.4,100,2.94,4.12,71.4,0,0.06,-0.06,1.18,1.18,0.59,0,108.2,1.76
Jaume Doménech,es ESP,GK,Valencia,es La Liga,30-021,1990,10,23.3,31.5,74,863.7,595.6,3.1,3.1,100,8.1,8.2,98.8,12.1,20.2,59.9,0,0,0,0,0.4,0,0,28.9,0
Nicolás Domí­nguez,ar ARG,MF,Bologna,it Serie A,22-151,1998,1.9,41.6,47.4,87.8,858.4,242.1,13.2,15.8,83.3,20.5,22.6,90.7,6.84,7.37,92.9,0,0.11,-0.11,1.58,4.74,0,0,59.5,5.26
Ji Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,29-182,1991,0.6,20,38.3,52.2,255,125,15,21.7,69.2,5,11.7,42.9,0,1.67,0,0,0,0,1.67,5,0,0,23.3,3.33
Anastasios Donis,gr GRE,MF,Reims,fr Ligue 1,24-089,1996,1.1,11.8,18.2,65,155.5,32.7,8.18,9.09,90,3.64,6.36,57.1,0,2.73,0,0,0,0,0,0,0.91,0,67.3,0.91
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,21-275,1999,7,23,32.4,70.9,627.3,390.6,4,4,100,11.7,11.7,100,7.29,16.7,43.6,0,0,0,0,0.14,0,0,49.9,0
Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,22-343,1997,8,67.9,76.9,88.3,1442.4,381.3,17,18.5,91.9,38.9,41.9,92.8,11.5,15.5,74.2,0,0,0,0,3.75,0.13,0,214.5,1
Bas Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,31-179,1989,6.7,23,33.6,68.4,325.7,81.6,14.5,19.6,74,6.42,9.25,69.4,1.49,2.99,50,0.3,0.34,-0.04,1.49,2.69,0.9,0,20.7,3.28
Lucas Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,17-113,2003,2.7,30,37.8,79.4,531.1,128.1,12.6,15.2,82.9,12.6,15.2,82.9,4.07,5.56,73.3,0,0,0,0,1.11,0.37,0,64.1,1.48
Abdoulaye Doucouré,fr FRA,MF,Everton,eng Premier League,27-330,1993,8.2,52.6,58.2,90.4,897.6,199.6,23.9,25.7,92.9,21.6,23.7,91.2,5.12,5.85,87.5,0.12,0.13,-0.01,0.85,2.93,0.61,0,92.9,2.68
Cheick Doucouré,ml MLI,MF,Lens,fr Ligue 1,20-323,2000,8.7,39.5,45.3,87.3,765.1,160.2,15.7,17.6,89.5,15.7,17.7,89,6.9,8.16,84.5,0,0.05,-0.05,0.57,4.6,0.46,0,89.9,3.33
Fodé Doucouré,ml MLI,DF,Reims,fr Ligue 1,19-297,2001,2.1,46.2,59,78.2,825.2,321,15.7,19.5,80.5,27.1,31.9,85.1,2.38,5.71,41.7,0,0.1,-0.1,0.95,1.9,1.43,0.48,231.9,3.33
Idrissa Doumbia,ci CIV,MF,Huesca,es La Liga,22-226,1998,0,2,2,100,34,16,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,4,0
Moussa Doumbia,ml MLI,MF,Reims,fr Ligue 1,26-103,1994,1.5,44.7,50,89.3,762.7,181.3,20,23.3,85.7,18,18.7,96.4,3.33,4,83.3,0,0.27,-0.27,1.33,2,1.33,0.67,324.7,3.33
Souleyman Doumbia,ci CIV,DF,Angers,fr Ligue 1,24-063,1996,6.9,41.4,53.8,77.1,695.7,233.2,22.2,25.1,88.4,14.9,18.8,79.2,3.62,7.83,46.3,0,0.07,-0.07,0.72,1.01,1.01,0.14,145.7,3.33
Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,29-265,1991,1.1,100.9,105.5,95.7,2379.1,650,24.5,25.5,96.4,51.8,52.7,98.3,23.6,26.4,89.7,0,0,0,0,10,0,0,112.7,6.36
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23-099,1997,8,24.4,32,76.2,671.5,338.4,6.13,6.13,100,8.75,8.88,98.6,9.38,16.9,55.6,0,0.01,-0.01,0.13,0.25,0.13,0,42.8,0
Denis Drăguș,ro ROU,FWMF,Crotone,it Serie A,21-143,1999,1.2,28.3,33.3,85,442.5,115.8,12.5,15,83.3,9.17,10.8,84.6,3.33,4.17,80,0,0,0,0,0.83,2.5,0,131.7,4.17
Mouhamadou Drammeh,fr FRA,MF,Reims,fr Ligue 1,21-195,1999,0.5,22,28,78.6,420,44,8,10,80,10,12,83.3,4,4,100,0,0,0,0,2,0,0,106,0
Julian Draxler,de GER,MF,Paris S-G,fr Ligue 1,27-067,1993,4.4,48,55.2,86.8,840.9,160.7,24.1,26.8,89.8,17.5,20,87.5,5.68,7.5,75.8,0,0.16,-0.16,1.36,3.18,1.82,0,189.5,5.23
Dominick Drexler,de GER,MFFW,Köln,de Bundesliga,30-184,1990,3.4,25,32.9,75.9,410.9,99.1,12.1,14.7,82,10.6,13.5,78.3,1.47,3.24,45.5,0,0.03,-0.03,0.29,1.47,0.88,0,78.2,2.65
Domingos Duarte,pt POR,DF,Granada,es La Liga,25-261,1995,5.5,28,35.3,79.4,636.7,219.3,6.73,7.82,86,15.5,17.6,87.6,5.64,9.09,62,0,0,0,0,1.27,0,0,98.9,2.36
Léo Duarte,br BRA,DF,Milan,it Serie A,24-132,1996,0.2,65,65,100,1320,230,20,20,100,35,35,100,10,10,100,0,0,0,0,0,0,0,85,0
Óscar Duarte,cr CRC,DF,Levante,es La Liga,31-176,1989,3.9,38.5,43.8,87.7,883.1,348.2,9.49,10.5,90.2,18.5,20.3,91.1,9.49,12.1,78.7,0,0,0,0.26,2.82,0,0,74.9,3.59
Rubén Duarte,es ESP,DF,Alavés,es La Liga,25-039,1995,8.3,31.3,47,66.7,596.6,344.2,15.4,18.3,84.2,10.8,16,67.7,4.82,11,44,0,0.16,-0.16,0.84,2.53,0.72,0.36,64.8,4.58
Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,26-073,1994,10,49.1,62.4,78.7,878.4,340.9,22.2,25.1,88.4,20.6,25.1,82.1,5.6,11,50.9,0.1,0.22,-0.12,3,2.5,1.9,0.8,173.4,5.3
Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,25-357,1994,7,29.6,43,68.8,559,159,14.1,16.7,84.6,9.86,14.6,67.6,5.14,9.29,55.4,0.14,0.17,-0.03,1.86,2.86,0.57,0.14,81.7,3.43
Haris Duljević,ba BIH,FW,Nîmes,fr Ligue 1,27-010,1993,0.6,21.7,28.3,76.5,368.3,116.7,15,16.7,90,3.33,5,66.7,3.33,3.33,100,0,0.33,-0.33,3.33,1.67,3.33,0,203.3,8.33
Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,27-261,1993,1.8,36.1,47.2,76.5,737.2,190.6,13.9,16.7,83.3,14.4,17.8,81.3,6.67,9.44,70.6,0,0,0,0.56,5,0,0,82.2,4.44
Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29-005,1991,6,58.7,64.5,91,1228.7,307.7,16.2,16.7,97,34.3,35.7,96.3,7.67,11.5,66.7,0,0,0,0.17,2.83,0,0,118,2
Jimmy Dunne,ie IRL,DF,Burnley,eng Premier League,23-038,1997,2,30,44.5,67.4,650.5,128,9,12,75,14.5,20,72.5,6,12,50,0,0.05,-0.05,1,0,0.5,0,11,0.5
Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28-198,1992,1,31,47,66,575,334,13,15,86.7,13,20,65,5,10,50,0,0,0,0,2,1,0,50,4
Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,23-137,1997,11,48.4,58.1,83.3,1137.5,420.2,11.1,12.5,88.4,25,28.2,88.7,11.8,16.5,71.4,0,0.04,-0.04,0.27,4.82,0.27,0,167.9,4.82
Paulo Dybala,ar ARG,FW,Juventus,it Serie A,27-011,1993,2,57.5,67.5,85.2,1021.5,279.5,26,29.5,88.1,21.5,24.5,87.8,7,9.5,73.7,0,0.25,-0.25,2,6,2.5,0.5,219,9.5
Edin Džeko,ba BIH,FW,Roma,it Serie A,34-254,1986,4.9,18.8,27.1,69.2,354.7,76.7,8.98,12.4,72.1,6.33,8.98,70.5,3.06,4.08,75,0,0.1,-0.1,1.43,1.63,1.43,0,86.1,2.45
Eric Junior Dina Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,20-005,2000,8.6,21.6,28,77.2,333.6,78.5,12.6,14.8,85,6.98,8.72,80,1.51,2.91,52,0,0.08,-0.08,0.81,1.4,0.35,0.12,185,1.63
Steeve-Mike Ebongue,fr FRA,MF,Genoa,it Serie A,19-280,2001,0.1,70,100,70,1070,120,30,40,75,40,50,80,0,0,,0,0,0,0,0,0,0,100,0
Enzo Ebosse,fr FRA,DF,Angers,fr Ligue 1,21-260,1999,2.9,43.8,52.8,83,697.2,287.6,22.4,23.4,95.6,18.3,21.4,85.5,2.41,5.86,41.2,0,0.21,-0.21,0.34,0.69,0,0,77.2,1.03
Bruno Ecuele Manga,ga GAB,DF,Dijon,fr Ligue 1,32-133,1988,11,48,52.9,90.7,1101.1,383.8,10.6,11.3,94.4,28.3,29.2,96.9,8.91,12.1,73.7,0,0,0,0.09,1.45,0,0,92.6,1.36
Simone Edera,it ITA,MF,Torino,it Serie A,23-322,1997,0.1,30,30,100,450,20,10,10,100,20,20,100,0,0,,0,0,0,0,0,0,0,0,0
Ederson,br BRA,GK,Manchester City,eng Premier League,27-101,1993,8,24.4,29.8,81.9,703.5,438.9,2.88,2.88,100,12.8,12.9,99,8.5,13.6,62.4,0,0,0,0,0.13,0.13,0,58.9,0
Kyle Edwards,eng ENG,MFFW,West Brom,eng Premier League,22-283,1998,1.3,23.1,26.9,85.7,323.1,70,13.8,13.8,100,9.23,10,92.3,0,1.54,0,0,0,0,0,2.31,0,0,157.7,2.31
John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,28-037,1992,7.1,32.4,39.7,81.6,780.6,292.1,8.45,9.44,89.6,17.6,19.3,91.2,6.2,10.1,61.1,0,0.01,-0.01,0.14,4.37,0.42,0,91.8,3.1
Johannes Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22-202,1998,0.4,27.5,42.5,64.7,387.5,65,17.5,20,87.5,10,17.5,57.1,0,5,0,0,0,0,2.5,2.5,0,0,122.5,5
Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,23-354,1996,8,25.6,33.8,75.9,458.5,149.9,10.5,13.3,79.2,12.3,15.8,77.8,2.5,4,62.5,0,0,0,0.25,3.75,0.38,0,81.3,4.88
Lilian Egloff,de GER,MF,Stuttgart,de Bundesliga,18-098,2002,0,3,3,100,53,3,1,1,100,2,2,100,0,0,,0,0,0,0,0,0,0,12,0
Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,25-185,1995,3.4,35.9,50.9,70.5,690.9,309.7,11.2,14.7,76,20.3,25.9,78.4,4.12,8.24,50,0.29,0.12,0.18,1.18,1.47,0.88,0.88,102.1,4.12
Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,31-121,1989,7.1,32.4,40.3,80.4,550.1,125.6,15.1,17.5,86.3,12,14.6,81.7,4.08,5.63,72.5,0,0.01,-0.01,0.14,2.25,0.14,0,79.6,2.25
Hugo Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18-159,2002,1,21,26,80.8,257,36,14,17,82.4,3,4,75,1,2,50,0,0,0,1,2,0,0,60,1
Niclas Eliasson,se SWE,FWMF,Nîmes,fr Ligue 1,24-355,1995,3.7,15.9,28.4,56.2,290.3,110.3,7.84,9.73,80.6,4.05,6.22,65.2,3.24,9.46,34.3,0,0.14,-0.14,1.08,0,1.08,0.81,56.2,0.81
Elif Elmas,mk MKD,FWMF,Napoli,it Serie A,21-063,1999,1.2,40.8,47.5,86,562.5,75.8,29.2,32.5,89.7,10,11.7,85.7,1.67,3.33,50,0,0.17,-0.17,0.83,1.67,1.67,0.83,181.7,0.83
Ahmed Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,33-078,1987,0.4,70,87.5,80,1242.5,417.5,27.5,32.5,84.6,32.5,40,81.3,7.5,10,75,0,0,0,2.5,5,2.5,0,30,2.5
Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,28-138,1992,5,57,61.2,93.1,1151.4,223,21.8,22.8,95.6,26.8,27.6,97.1,8.4,10.4,80.8,0,0.02,-0.02,0.4,5.4,0.8,0,155.6,3
Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,26-243,1994,9,45.4,54.6,83.3,1028.9,319.6,12.3,13.8,89.5,23.3,26.8,87.1,9.44,13.3,70.8,0,0,0,0.11,4,0.22,0.11,158.1,4
Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24-057,1996,7.5,68,73.7,92.2,1458.1,334.1,17.7,19.5,91.1,39.6,41.2,96.1,10.4,12.4,83.9,0,0,0,0,0.93,0.13,0,158.8,2.13
Rodrigo Ely,br BRA,DF,Alavés,es La Liga,27-023,1993,3.8,24.5,29.7,82.3,641.8,194.2,5,6.05,82.6,11.3,12.4,91.5,7.63,10.5,72.5,0,0.03,-0.03,0.26,1.05,0.26,0,21.3,1.05
Breel Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,23-286,1997,4.1,18.8,28.3,66.4,256.3,35.9,11.5,15.4,74.6,5.12,7.32,70,0.98,1.95,50,0,0.02,-0.02,0.24,0.49,0.49,0,132,0.98
Emerson,br BRA,DF,Betis,es La Liga,21-317,1999,6.7,55.5,68.5,81,826,312.2,35.7,38.8,91.9,14.9,19,78.7,4.03,7.91,50.9,0,0.1,-0.1,1.49,3.43,1.94,0.75,116,4.93
Renaud Emond,be BEL,FW,Nantes,fr Ligue 1,28-357,1991,1.3,16.9,26.9,62.9,369.2,61.5,6.15,10.8,57.1,6.15,10.8,57.1,4.62,5.38,85.7,0,0,0,0.77,1.54,0,0,20.8,1.54
Alan Empereur,br BRA,DF,Hellas Verona,it Serie A,26-261,1994,2.4,39.6,50.4,78.5,828.3,235.4,10,10.8,92.3,24.2,28.3,85.3,5.42,9.58,56.5,0,0,0,0,3.75,0,0,115.8,4.17
Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23-178,1997,4.6,12.6,18,69.9,187.4,16.7,6.96,8.91,78,3.48,5.65,61.5,1.09,1.3,83.3,0,0,0,0.43,0.43,0,0,40.4,0
Keita Endo,jp JPN,FWMF,Union Berlin,de Bundesliga,23-004,1997,0.5,6,12,50,60,10,6,12,50,0,0,,0,0,,0,0,0,0,0,0,0,130,0
Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,27-291,1993,8,42.9,52.3,82.1,768.6,288,17.4,19.8,88,19.9,22.5,88.3,4.25,6.75,63,0.13,0.1,0.03,0.63,4.13,0.88,0,129.3,6.75
Sergi Enrich,es ESP,FW,Eibar,es La Liga,30-274,1990,2.2,20,27.7,72.1,284.5,34.1,13.2,17.7,74.4,4.09,5.91,69.2,1.82,1.82,100,0,0.05,-0.05,0.45,0.45,0,0,38.6,1.36
Christian Eriksen,dk DEN,MF,Inter,it Serie A,28-286,1992,2.3,59.1,74.8,79.1,960.9,262.2,31.7,36.1,88,16.1,19.6,82.2,7.39,13.9,53.1,0,0.09,-0.09,2.17,6.96,1.74,0,190,3.48
Martin Erlic,hr CRO,DF,Spezia,it Serie A,22-307,1998,3.3,31.5,38.8,81.3,732.1,181.8,9.39,10.6,88.6,13.3,16.7,80,7.88,10.3,76.5,0,0,0,0,1.52,0,0,52.4,0.91
Gonzalo Escalante,ar ARG,MF,Lazio,it Serie A,27-244,1993,1.1,54.5,63.6,85.7,905.5,207.3,24.5,25.5,96.4,21.8,25.5,85.7,6.36,10,63.6,0,0,0,0,3.64,0,0,62.7,5.45
Dani Escriche,es ESP,MFFW,Huesca,es La Liga,22-247,1998,0.6,26.7,28.3,94.1,376.7,58.3,13.3,15,88.9,11.7,11.7,100,1.67,1.67,100,0,0,0,0,1.67,0,0,33.3,0
Sergio Escudero,es ESP,DF,Sevilla,es La Liga,31-085,1989,2.4,50.8,63.8,79.7,802.1,292.9,22.9,25.8,88.7,25,29.2,85.7,0.83,5,16.7,0,0.13,-0.13,1.25,3.75,1.67,0.42,119.6,2.92
Alfonso Espino,uy URU,DF,Cádiz,es La Liga,28-326,1992,9.5,20.4,31.3,65.3,411.6,231.8,8.53,9.79,87.1,8.42,12.9,65,3.16,7.26,43.5,0.11,0.04,0.06,0.53,1.05,0.53,0.32,44.9,1.89
Esquerdo,es ESP,MF,Valencia,es La Liga,21-329,1999,1.6,31.3,39.4,79.4,631.3,125.6,15,16.3,92.3,9.38,11.9,78.9,5.63,8.75,64.3,0,0,0,0,1.88,0,0,27.5,2.5
Nahuel Estévez,ar ARG,MF,Spezia,it Serie A,25-012,1995,2.3,40.4,49.6,81.6,730.9,180,18.3,19.6,93.3,17,20,84.8,4.78,7.39,64.7,0.43,0.13,0.3,1.74,3.04,0,0,107.8,3.04
Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,22-310,1998,3.9,45.4,58.2,78,880.3,282.6,15.6,18.5,84.7,23.1,27.7,83.3,5.9,8.72,67.6,0,0.05,-0.05,1.03,1.79,2.05,1.28,145.9,3.08
Xabier Etxeita,es ESP,DF,Getafe,es La Liga,33-026,1987,4,18.8,30.5,61.5,452.8,121.3,3.5,5.5,63.6,10,12.3,81.6,5,11.8,42.6,0,0,0,0,2,0,0,34.8,2.25
Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,32-328,1988,5.9,44.1,51.4,85.8,908.1,255.1,12.7,14.2,89.3,24.7,26.1,94.8,6.44,10.5,61.3,0,0,0,0,1.69,0,0,67.5,0.85
Edu Expósito,es ESP,MF,Eibar,es La Liga,24-117,1996,6.9,30.7,40,76.8,598.8,154.1,11.3,14.1,80.4,14.3,17.4,82.5,4.49,6.96,64.6,0.14,0.14,0,1.3,3.91,0.58,0,107,5.36
Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,22-150,1998,4.6,32.6,42,77.7,472.4,166.5,19.6,22.4,87.4,9.35,12,78.2,2.17,4.78,45.5,0.22,0.04,0.17,1.09,3.48,0.87,0,224.3,5
Åukasz Fabiański,pl POL,GK,West Ham,eng Premier League,35-222,1985,9,18.8,29.1,64.5,740.8,527.8,1.78,1.89,94.1,6.11,6.22,98.2,10.8,20.9,51.6,0,0,0,0,0.67,0,0,#N/A,0
Fabinho,br BRA,DFMF,Liverpool,eng Premier League,27-034,1993,6.4,63.9,70.3,90.9,1314.5,309.5,19.7,20.9,94,34.4,36.4,94.4,9.53,12.2,78.2,0,0.02,-0.02,0.31,2.66,0.16,0.16,118.4,3.28
Fábio,br BRA,DF,Nantes,fr Ligue 1,30-140,1990,7.7,39,51.9,75,686.2,282.5,16.4,19,86.3,17.3,21.9,78.7,4.16,7.92,52.5,0,0.03,-0.03,0.65,2.86,0.26,0,108.7,3.38
Cesc Fí bregas,es ESP,MF,Monaco,fr Ligue 1,33-206,1987,4.7,72.1,90.2,80,1494.5,573.8,27,29.8,90.7,29.8,34.5,86.4,14.3,23.2,61.5,0.21,0.4,-0.19,3.62,8.94,2.34,0.64,#N/A,10.2
Bandiougou Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,19-316,2001,0.5,52,54,96.3,740,130,34,34,100,16,18,88.9,2,2,100,0,0,0,0,2,2,2,136,0
Wout Faes,be BEL,DF,Reims,fr Ligue 1,22-237,1998,7.5,44.1,49.3,89.5,1085.3,292.1,8.53,9.33,91.4,24,25.5,94.2,11.3,14.1,80.2,0,0,0,0,2.53,0,0,78.3,1.47
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,32-060,1988,2.5,29.2,42.4,68.9,835.2,472,6,6,100,10.8,10.8,100,12,25.2,47.6,0,0,0,0,0.4,0,0,49.2,0
Romain Faivre,fr FRA,FWMF,Brest,fr Ligue 1,22-135,1998,10.1,32.7,43.9,74.5,577.9,159.7,15.5,18.5,84,12,15,79.6,4.16,8.32,50,0.1,0.23,-0.13,2.18,1.58,0.99,0.1,201.5,3.37
Fali,es ESP,DF,Cádiz,es La Liga,27-106,1993,6.6,12,19.5,61.2,319.2,129.2,2.73,3.79,72,5.15,6.06,85,3.94,9.39,41.9,0,0,0,0.15,1.67,0,0,21.5,1.67
Iago Falque,es ESP,MF,Benevento,it Serie A,30-327,1990,1.3,23.1,32.3,71.4,442.3,132.3,9.23,10.8,85.7,10.8,13.1,82.4,3.08,8.46,36.4,0,0,0,0,1.54,2.31,0,160,4.62
Andri Fannar Baldursson,is ISL,MF,Bologna,it Serie A,18-321,2002,0.2,35,40,87.5,650,140,15,15,100,15,15,100,5,10,50,0,0.5,-0.5,5,10,0,0,25,5
Paolo Faragò,it ITA,DFMF,Cagliari,it Serie A,27-288,1993,2.2,43.6,52.3,83.5,822.3,325.9,17.7,18.2,97.5,22.3,26.4,84.5,3.64,6.82,53.3,0,0.09,-0.09,0.91,2.27,0.91,0.45,95,4.09
Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29-032,1991,5,29.2,43,67.9,587.6,211.6,11,14,78.6,12.8,19,67.4,4.8,8,60,0.2,0.16,0.04,0.8,2.2,1.4,0.4,86.4,4
Mohamed Fares,dz ALG,DF,Lazio,it Serie A,24-285,1996,4.1,39.5,51.5,76.8,605.4,167.8,22,24.4,90,13.4,17.1,78.6,2.2,6.1,36,0.24,0.15,0.1,1.46,1.95,0.98,0.49,111.2,3.41
Diego Farias,br BRA,FW,Spezia,it Serie A,30-200,1990,2.6,37.7,43.1,87.5,617.3,107.7,19.6,21.9,89.5,13.8,15.8,87.8,3.08,3.85,80,0,0.12,-0.12,1.92,1.15,1.54,0,116.2,3.08
Ansu Fati,es ESP,FW,Barcelona,es La Liga,18-026,2002,4.8,36.3,42.7,84.9,448.1,95.8,25.4,28.5,89.1,8.33,9.79,85.1,0.63,1.04,60,0,0.29,-0.29,1.88,0.63,1.46,0,243.5,2.29
Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,33-317,1987,5.1,42.7,56.7,75.4,968.2,438.6,12.7,15.9,80.2,21.8,25.7,84.7,8.24,13.1,62.7,0.39,0.29,0.1,2.16,3.33,2.55,2.16,83.3,4.9
Andrea Favilli,it ITA,FW,Hellas Verona,it Serie A,23-193,1997,2.3,13,17.4,75,178.3,9.13,8.7,10.9,80,3.04,3.91,77.8,0.87,0.87,100,0,0.04,-0.04,0.87,0.43,0.43,0,45.7,0.43
Nabil Fekir,fr FRA,MFFW,Betis,es La Liga,27-131,1993,7.1,34.9,41.5,84.1,520.8,120.7,21.3,23.9,88.8,9.3,10.8,85.7,2.82,4.37,64.5,0.28,0.04,0.24,0.7,4.23,0.28,0,169.9,3.1
