,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,PrgDist Car,Prog
Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,31-113,1989,7.9,48.4,61.8,78.3,789.2,307.1,25.4,29.1,87.4,17.8,22,81,3.8,7.34,51.7,0,0.04,-0.04,0.76,2.28,1.01,0.13,73.2,4.05
Bartosz Bialek,pl POL,FW,Wolfsburg,de Bundesliga,19-015,2001,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Giulian Biancone,fr FRA,DFMF,Monaco,fr Ligue 1,20-240,2000,1,70,90,77.8,1361,395,32,38,84.2,25,33,75.8,12,14,85.7,0,0.2,-0.2,2,5,4,3,271,6
Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,30-307,1990,1.4,38.6,44.3,87.1,793.6,266.4,10.7,12.1,88.2,22.9,24.3,94.1,5,7.86,63.6,0,0,0,0,2.14,0,0,125,2.86
Pedro Bigas,es ESP,DF,Eibar,es La Liga,30-072,1990,4.7,23.6,34.9,67.7,542.3,222.8,5.32,6.6,80.6,13.4,17.7,75.9,4.47,10.2,43.8,0,0,0,0,1.06,0.21,0,28.7,2.13
El Bilal Touré,ml MLI,FWMF,Reims,fr Ligue 1,19-054,2001,5.1,12.9,17.8,72.5,197.3,39.4,6.86,9.41,72.9,4.71,5.88,80,1.18,1.57,75,0.2,0.1,0.1,1.18,0.98,0.39,0,41.4,0.98
Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,28-086,1992,8,46.8,64.6,72.3,830.9,296,20.9,23.6,88.4,20,25.4,78.8,4.88,12.8,38.2,0.38,0.31,0.06,1.88,3,1.5,1.13,137.8,4.13
Davide Biraschi,it ITA,DF,Genoa,it Serie A,26-147,1994,4.5,47.6,62.2,76.4,875.3,318.4,16.7,19.3,86.2,25.3,30.7,82.6,4.22,9.33,45.2,0,0.02,-0.02,0.22,2.89,0.44,0.22,115.8,3.33
Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,24-088,1996,8,43.1,50.9,84.8,880.1,158.8,15.4,18.5,83.1,19.3,21,91.7,7.75,10,77.5,0,0,0,0.13,4.63,0.63,0,140.1,3.5
Leonardo Bittencourt,de GER,FWMF,Werder Bremen,de Bundesliga,26-343,1993,6.3,23.5,32.9,71.5,438.3,109,12.2,14.6,83.7,7.78,10.8,72.1,3.49,6.35,55,0,0.1,-0.1,1.43,1.27,1.59,0.95,106.3,2.38
Alejandro Blanco,es ESP,MF,Valencia,es La Liga,21-346,1998,1.8,16.1,22.8,70.7,251.1,47.8,7.22,9.44,76.5,7.22,8.89,81.3,0.56,1.67,33.3,0,0,0,0.56,1.67,0,0,92.2,0.56
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25-124,1995,3,20.3,29.3,69.3,512.7,325.3,5,5,100,8.67,8.67,100,6,15,40,0,0,0,0,0,0,0,37.7,0
